"","v","J","theta","S"
"154",0.631,150,189.3,110.68766696588
"155",0.641,150,192.3,111.105523341652
"156",0.651,150,195.3,111.5144251272
"157",0.661,150,198.3,111.914662658516
"158",0.671,150,201.3,112.306513608824
"159",0.681,150,204.3,112.69024368491
"160",0.691,150,207.3,113.066107277119
"161",0.701,150,210.3,113.43434806667
"162",0.711,150,213.3,113.795199593551
"163",0.721,150,216.3,114.148885788022
"164",0.731,150,219.3,114.495621468455
"165",0.741,150,222.3,114.83561280801
"166",0.751,150,225.3,115.169057772451
"167",0.761,150,228.3,115.496146531176
"168",0.771,150,231.3,115.817061843407
"169",0.781,150,234.3,116.131979421275
"170",0.791,150,237.3,116.441068271451
"171",0.801,150,240.3,116.744491016779
"172",0.811,150,243.3,117.04240419931
"173",0.821,150,246.3,117.334958565978
"174",0.831,150,249.3,117.622299338096
"175",0.841,150,252.3,117.904566465741
"176",0.851,150,255.3,118.18189486802
"177",0.861,150,258.3,118.454414660134
"178",0.871,150,261.3,118.722251368099
"179",0.881,150,264.3,118.985526131897
"180",0.891,150,267.3,119.244355897795
"181",0.001,250,0.5,3.74248580527423
"182",0.011,250,5.5,21.6159407054478
"183",0.021,250,10.5,34.2056527374141
"184",0.031,250,15.5,44.5081752392427
"185",0.041,250,20.5,53.3530157848957
"186",0.051,250,25.5,61.1446439815119
"187",0.061,250,30.5,68.1231672029041
"188",0.071,250,35.5,74.4473206167854
"189",0.081,250,40.5,80.2295249822717
"190",0.091,250,45.5,85.5533210806907
"191",0.101,250,50.5,90.4830349678385
"192",0.111,250,55.5,95.0695722615789
"193",0.121,250,60.5,99.354104016915
"194",0.131,250,65.5,103.37052323984
"195",0.141,250,70.5,107.147144857068
"196",0.151,250,75.5,110.70791923503
"197",0.161,250,80.5,114.073321318992
"198",0.171,250,85.5,117.261016717693
"199",0.181,250,90.5,120.286370323529
"200",0.191,250,95.5,123.162841213601
"201",0.201,250,100.5,125.902293774737
"202",0.211,250,105.5,128.515246019922
"203",0.221,250,110.5,131.011070076971
"204",0.231,250,115.5,133.39815574655
"205",0.241,250,120.5,135.684045184572
"206",0.251,250,125.5,137.875544750068
"207",0.261,250,130.5,139.978818609104
"208",0.271,250,135.5,141.999467625039
"209",0.281,250,140.5,143.942596279854
"210",0.291,250,145.5,145.812869782023
